index,country,vp,vr,v,iso3
0,Afghanistan,0.7,0.454684641,0.47774428399999996,AFG
1,Albania,0.7,0.3515,0.38234225,ALB
2,Algeria,0.55220995,0.1,,DZA
3,American Samoa,0.3,0.2755,,ASM
4,Andorra,0.105,0.1,,AND
5,Angola,0.7,0.6,0.6054,AGO
6,Antigua and Barbuda,0.3,0.2175,,ATG
7,Arab World,,,,Arab World
8,Argentina,0.7,0.39725391299999996,0.41111968299999996,ARG
9,Armenia,0.3,0.2375,0.24298125,ARM
10,Aruba,0.7,0.6764212740000001,,ABW
11,Australia,0.7,0.5386,0.54994642,AUS
12,Austria,0.57,0.2395,0.2674603,AUT
13,Azerbaijan,0.3,0.2375,0.24258125,AZE
14,"Bahamas, The",0.7,0.4735,,BHS
15,Bahrain,0.7,0.62725,,BHR
16,Bangladesh,0.7,0.415535198,0.440795672,BGD
17,Barbados,0.39799999999999996,0.247,,BRB
18,Belarus,0.7,0.295,0.33294850000000004,BLR
19,Belgium,0.46,0.27,0.28586500000000004,BEL
20,Belize,0.466,0.26899999999999996,,BLZ
21,Benin,0.7,0.6734349000000001,0.675065998,BEN
22,Bermuda,0.7,0.5265,,BMU
23,Bhutan,0.7,0.673890577,0.675652963,BTN
24,Bolivia,0.7,0.38885421200000003,0.399184252,BOL
25,Bosnia and Herzegovina,0.7,0.442031071,0.46130135,BIH
26,Botswana,0.7,0.641600854,0.64325939,BWA
27,Brazil,0.7,0.650662885,0.652335413,BRA
28,Brunei Darussalam,0.39486965,0.22297463399999998,,BRN
29,Bulgaria,0.7,0.385776036,0.40591779200000006,BGR
30,Burkina Faso,0.7,0.6734349000000001,0.675220075,BFA
31,Burundi,0.7,0.44244721299999995,0.465523942,BDI
32,Cabo Verde,,,,CPV
33,Cambodia,0.7,0.203853277,0.248456868,KHM
34,Cameroon,0.634368096,0.3,0.321232374,CMR
35,Canada,0.392719849,0.278489152,0.286599531,CAN
36,Caribbean small states,,,,Caribbean small states
37,Cayman Islands,0.7,0.391375829,,CYM
38,Central African Republic,0.7,0.634820555,0.6370171029999999,CAF
39,Central Europe and the Baltics,,,,Central Europe and the Baltics
40,Chad,0.7,0.6734349000000001,0.674731277,TCD
41,Channel Islands,,,,Channel Islands
42,Chile,0.313141,0.11529375,0.124236446,CHL
43,China,0.7,0.5370080660000001,0.54461979,CHN
