wbregion,consSeg,food_share
EAP,0-2.97,0.576236458
EAP,2.97-8.44,0.458522992
EAP,8.44-23.03,0.311064631
EAP,>23.03,0.14914014
ECA,0-2.97,0.651761766
ECA,2.97-8.44,0.546997037
ECA,8.44-23.03,0.415501035
ECA,>23.03,0.31672785
LAC,0-2.97,0.521131013
LAC,2.97-8.44,0.418529575
LAC,8.44-23.03,0.305239913
LAC,>23.03,0.141573736
MNA,0-2.97,0.545589626
MNA,2.97-8.44,0.463048465
MNA,8.44-23.03,0.334213735
MNA,>23.03,0.183197598
SAS,0-2.97,0.59847904
SAS,2.97-8.44,0.451871161
SAS,8.44-23.03,0.281881905
SAS,>23.03,0.12397541
SSA,0-2.97,0.605808731
SSA,2.97-8.44,0.47853753
SSA,8.44-23.03,0.318056148
SSA,>23.03,0.125307022
YHI,0-2.97,0.6349787
YHI,2.97-8.44,0.521998322
YHI,8.44-23.03,0.431545243
YHI,>23.03,0.247039983
