COUNTRY,diff 2020s,country,wbregion
Afghanistan,-0.09730999999999979,AFG,SAS
Albania,0.9808000000000003,ALB,ECA
Algeria,0.0013899999999997803,DZA,MNA
Angola,1.131600000000006,AGO,SSA
Argentina,1.9080999999999975,ARG,LAC
Armenia,-0.11856999999999918,ARM,ECA
Australia,1.3075000000000045,AUS,YHI
Austria,-0.5084499999999998,AUT,YHI
Azerbaijan,-1.1083999999999996,AZE,ECA
"Bahamas, The",4.0,BHS,YHI
Bangladesh,0.20579999999999643,BGD,SAS
Belgium,0.0,BEL,YHI
Belize,0.0,BLZ,LAC
Benin,0.0,BEN,SSA
Bhutan,-0.29340000000000543,BTN,SAS
Bolivia,0.3825000000000003,BOL,LAC
Bosnia and Herzegovina,-1.0404199999999992,BIH,ECA
Botswana,0.2881,BWA,SSA
Brazil,0.5326000000000022,BRA,LAC
Bulgaria,0.44790000000000063,BGR,ECA
Burkina Faso,-0.6238999999999919,BFA,SSA
Burundi,0.9690999999999974,BDI,SSA
Cambodia,0.0,KHM,EAP
Cameroon,-0.09390000000000498,CMR,SSA
Canada,0.5407200000000003,CAN,YHI
Central African Republic,0.0,CAF,SSA
Chad,-0.5345999999999975,TCD,SSA
Chile,-0.6133799999999998,CHL,YHI
China,-0.3738000000000028,CHN,EAP
Colombia,0.2575999999999965,COL,LAC
Costa Rica,0.0,CRI,LAC
Croatia,-0.36240000000000094,HRV,YHI
Cuba,0.22100000000000364,CUB,LAC
Cyprus,0.0,CYP,YHI
Czech Republic,-0.40409599999999996,CZE,YHI
Denmark,0.0,DNK,YHI
Djibouti,-1.8139000000000003,DJI,MNA
Dominican Republic,-0.10090000000000998,DOM,LAC
Ecuador,-0.006800000000005468,ECU,LAC
El Salvador,-0.8830999999999989,SLV,LAC
Equatorial Guinea,0.0,GNQ,YHI
Eritrea,0.14750000000000085,ERI,SSA
Estonia,0.0,EST,YHI
Ethiopia,0.6980000000000004,ETH,SSA
Fiji,0.3312999999999988,FJI,EAP
Finland,0.0,FIN,YHI
France,0.2102699999999995,FRA,YHI
Gabon,1.0079999999999956,GAB,SSA
"Gambia, The",0.0,GMB,SSA
Georgia,0.23760000000000048,GEO,ECA
Germany,-0.106267,DEU,YHI
Ghana,-0.04540000000000077,GHA,SSA
Greece,0.4333999999999989,GRC,YHI
Greenland,0.0,GRL,YHI
Guatemala,-0.5692000000000093,GTM,LAC
Guinea,0.0,GIN,SSA
Guinea-Bissau,-0.6381999999999977,GNB,SSA
Guyana,0.0,GUY,LAC
Haiti,0.0,HTI,LAC
Honduras,-0.17430000000000234,HND,LAC
Hungary,-0.3110999999999997,HUN,ECA
Iceland,0.0,ISL,YHI
India,1.455600000000004,IND,SAS
Indonesia,0.11140000000000327,IDN,EAP
Iraq,1.2186300000000005,IRQ,MNA
Ireland,0.0,IRL,YHI
Israel,-0.98142,ISR,YHI
Italy,0.4457000000000022,ITA,YHI
Jamaica,0.0,JAM,LAC
Japan,-0.9170000000000016,JPN,YHI
Jordan,0.0,JOR,MNA
Kazakhstan,-0.45669000000000093,KAZ,ECA
Kenya,0.9732999999999947,KEN,SSA
Kuwait,0.0,KWT,YHI
Latvia,0.0,LVA,YHI
Lebanon,0.0,LBN,MNA
Lesotho,0.09791000000000061,LSO,SSA
Liberia,0.0,LBR,SSA
Libya,0.11527899999999999,LBY,MNA
Lithuania,0.0,LTU,YHI
Luxembourg,0.0,LUX,YHI
Madagascar,0.00010000000001753051,MDG,SSA
Malawi,0.679000000000002,MWI,SSA
Malaysia,0.01860000000000639,MYS,EAP
