Area,Consumption Segment,Country,Sector,data
National,Higher,Afghanistan,Others,0.082464959
National,Higher,Afghanistan,Financial Services,0
National,Higher,Afghanistan,ICT,0.013654957
National,Higher,Afghanistan,Personal Care,0.013018099
National,Higher,Afghanistan,Health,0.023518642
National,Higher,Afghanistan,Education   ,0
National,Higher,Afghanistan,Water Utility,0.000423461
National,Higher,Afghanistan,Transport,0.432387796
National,Higher,Afghanistan,Energy,0.022864723
National,Higher,Afghanistan,Housing,0.185701134
National,Higher,Afghanistan,Clothing and Footwear,0.022321027
National,Higher,Afghanistan,Food and Beverages,0.203645203
National,Higher,Afghanistan,All Sectors,1
National,Middle,Afghanistan,Others,0.107345844
National,Middle,Afghanistan,Financial Services,0
National,Middle,Afghanistan,ICT,0.036106575
National,Middle,Afghanistan,Personal Care,0.018707102
National,Middle,Afghanistan,Health,0.026383514
National,Middle,Afghanistan,Education   ,0.003583571
National,Middle,Afghanistan,Water Utility,0.001168673
National,Middle,Afghanistan,Transport,0.147615661
National,Middle,Afghanistan,Energy,0.057585087
National,Middle,Afghanistan,Housing,0.169306573
National,Middle,Afghanistan,Clothing and Footwear,0.038006081
National,Middle,Afghanistan,Food and Beverages,0.39419132
National,Middle,Afghanistan,All Sectors,1
National,Low,Afghanistan,Others,0.102899145
National,Low,Afghanistan,Financial Services,0
National,Low,Afghanistan,ICT,0.017347779
National,Low,Afghanistan,Personal Care,0.014983917
National,Low,Afghanistan,Health,0.036371823
National,Low,Afghanistan,Education   ,0.001533677
National,Low,Afghanistan,Water Utility,0.00110184
National,Low,Afghanistan,Transport,0.05967484
National,Low,Afghanistan,Energy,0.069648611
National,Low,Afghanistan,Housing,0.098455498
National,Low,Afghanistan,Clothing and Footwear,0.04114653
National,Low,Afghanistan,Food and Beverages,0.556836339
National,Low,Afghanistan,All Sectors,1
National,Lowest,Afghanistan,Others,0.070484115
National,Lowest,Afghanistan,Financial Services,0
National,Lowest,Afghanistan,ICT,0.009106141
National,Lowest,Afghanistan,Personal Care,0.012391161
National,Lowest,Afghanistan,Health,0.039634673
National,Lowest,Afghanistan,Education   ,0.000487721
National,Lowest,Afghanistan,Water Utility,0.000511856
National,Lowest,Afghanistan,Transport,0.036699676
National,Lowest,Afghanistan,Energy,0.062690182
National,Lowest,Afghanistan,Housing,0.058388218
National,Lowest,Afghanistan,Clothing and Footwear,0.050581013
National,Lowest,Afghanistan,Food and Beverages,0.659025244
National,Lowest,Afghanistan,All Sectors,1
National,All,Afghanistan,Others,0.092270512
National,All,Afghanistan,Financial Services,0
National,All,Afghanistan,ICT,0.015793712
National,All,Afghanistan,Personal Care,0.014352276
National,All,Afghanistan,Health,0.036800681
National,All,Afghanistan,Education   ,0.001313464
National,All,Afghanistan,Water Utility,0.000907047
National,All,Afghanistan,Transport,0.058190858
National,All,Afghanistan,Energy,0.066461818
National,All,Afghanistan,Housing,0.089723049
National,All,Afghanistan,Clothing and Footwear,0.044085669
National,All,Afghanistan,Food and Beverages,0.580100914
National,All,Afghanistan,All Sectors,1
Rural,Higher,Afghanistan,Others,0
Rural,Higher,Afghanistan,Financial Services,0
Rural,Higher,Afghanistan,ICT,0
Rural,Higher,Afghanistan,Personal Care,0
Rural,Higher,Afghanistan,Health,0
Rural,Higher,Afghanistan,Education   ,0
Rural,Higher,Afghanistan,Water Utility,0
Rural,Higher,Afghanistan,Transport,0
Rural,Higher,Afghanistan,Energy,0
Rural,Higher,Afghanistan,Housing,0
Rural,Higher,Afghanistan,Clothing and Footwear,0
Rural,Higher,Afghanistan,Food and Beverages,0
Rural,Higher,Afghanistan,All Sectors,0
Rural,Middle,Afghanistan,Others,0.198741165
Rural,Middle,Afghanistan,Financial Services,0
Rural,Middle,Afghanistan,ICT,0.020988847
Rural,Middle,Afghanistan,Personal Care,0.013020785
Rural,Middle,Afghanistan,Health,0.026177533
Rural,Middle,Afghanistan,Education   ,0.000541634
Rural,Middle,Afghanistan,Water Utility,2.68E-05
Rural,Middle,Afghanistan,Transport,0.137423438
Rural,Middle,Afghanistan,Energy,0.059820505
Rural,Middle,Afghanistan,Housing,0.040079443
Rural,Middle,Afghanistan,Clothing and Footwear,0.031964976
Rural,Middle,Afghanistan,Food and Beverages,0.471214903
Rural,Middle,Afghanistan,All Sectors,1
Rural,Low,Afghanistan,Others,0.100975261
Rural,Low,Afghanistan,Financial Services,0
Rural,Low,Afghanistan,ICT,0.011085726
Rural,Low,Afghanistan,Personal Care,0.012190053
Rural,Low,Afghanistan,Health,0.039060558
Rural,Low,Afghanistan,Education   ,0.000515631
Rural,Low,Afghanistan,Water Utility,0.000683867
Rural,Low,Afghanistan,Transport,0.063087376
Rural,Low,Afghanistan,Energy,0.062981553
Rural,Low,Afghanistan,Housing,0.050885254
Rural,Low,Afghanistan,Clothing and Footwear,0.040108501
Rural,Low,Afghanistan,Food and Beverages,0.618426221
Rural,Low,Afghanistan,All Sectors,1
Rural,Lowest,Afghanistan,Others,0.069409805
Rural,Lowest,Afghanistan,Financial Services,0
Rural,Lowest,Afghanistan,ICT,0.00812279
Rural,Lowest,Afghanistan,Personal Care,0.011887161
Rural,Lowest,Afghanistan,Health,0.040118602
Rural,Lowest,Afghanistan,Education   ,0.000454754
Rural,Lowest,Afghanistan,Water Utility,0.000385244
Rural,Lowest,Afghanistan,Transport,0.037531346
Rural,Lowest,Afghanistan,Energy,0.058800155
Rural,Lowest,Afghanistan,Housing,0.04838699
Rural,Lowest,Afghanistan,Clothing and Footwear,0.05101672
Rural,Lowest,Afghanistan,Food and Beverages,0.673886433
Rural,Lowest,Afghanistan,All Sectors,1
Rural,All,Afghanistan,Others,0.087420241
Rural,All,Afghanistan,Financial Services,0
Rural,All,Afghanistan,ICT,0.009820329
Rural,All,Afghanistan,Personal Care,0.012058953
Rural,All,Afghanistan,Health,0.039422787
Rural,All,Afghanistan,Education   ,0.00048793
Rural,All,Afghanistan,Water Utility,0.000540459
Rural,All,Afghanistan,Transport,0.052066762
Rural,All,Afghanistan,Energy,0.06103144
Rural,All,Afghanistan,Housing,0.049634602
Rural,All,Afghanistan,Clothing and Footwear,0.045038677
Rural,All,Afghanistan,Food and Beverages,0.642477818
Rural,All,Afghanistan,All Sectors,1
Urban,Higher,Afghanistan,Others,0.082464959
Urban,Higher,Afghanistan,Financial Services,0
Urban,Higher,Afghanistan,ICT,0.013654957
Urban,Higher,Afghanistan,Personal Care,0.013018099
Urban,Higher,Afghanistan,Health,0.023518642
Urban,Higher,Afghanistan,Education   ,0
Urban,Higher,Afghanistan,Water Utility,0.000423461
Urban,Higher,Afghanistan,Transport,0.432387796
Urban,Higher,Afghanistan,Energy,0.022864723
Urban,Higher,Afghanistan,Housing,0.185701134
Urban,Higher,Afghanistan,Clothing and Footwear,0.022321027
Urban,Higher,Afghanistan,Food and Beverages,0.203645203
Urban,Higher,Afghanistan,All Sectors,1
Urban,Middle,Afghanistan,Others,0.097514685
Urban,Middle,Afghanistan,Financial Services,0
Urban,Middle,Afghanistan,ICT,0.03773275
Urban,Middle,Afghanistan,Personal Care,0.019318765
Urban,Middle,Afghanistan,Health,0.026405671
Urban,Middle,Afghanistan,Education   ,0.003910784
Urban,Middle,Afghanistan,Water Utility,0.001291504
Urban,Middle,Afghanistan,Transport,0.148712012
Urban,Middle,Afghanistan,Energy,0.057344628
Urban,Middle,Afghanistan,Housing,0.183207202
Urban,Middle,Afghanistan,Clothing and Footwear,0.038655907
Urban,Middle,Afghanistan,Food and Beverages,0.385906091
Urban,Middle,Afghanistan,All Sectors,1
Urban,Low,Afghanistan,Others,0.105615203
Urban,Low,Afghanistan,Financial Services,0
Urban,Low,Afghanistan,ICT,0.026188278
Urban,Low,Afghanistan,Personal Care,0.018928175
