country,country_name,wbregion,who
ABW,Aruba,YHI,
ADO,Andorra,YHI,
AFG,Afghanistan,SAS,EMR-D
AGO,Angola,SSA,AFR-D
ALB,Albania,ECA,EUR-B
ARE,United Arab Emirates,YHI,
ARG,Argentina,LAC,AMR-B
ARM,Armenia,ECA,EUR-B
ASM,American Samoa,EAP,WPR-B
ATG,Antigua and Barbuda,YHI,
AUS,Australia,YHI,
AUT,Austria,YHI,
AZE,Azerbaijan,ECA,EUR-B
BDI,Burundi,SSA,AFR-E
BEL,Belgium,YHI,
BEN,Benin,SSA,AFR-D
BFA,Burkina Faso,SSA,AFR-D
BGD,Bangladesh,SAS,SEAR-D
BGR,Bulgaria,ECA,EUR-B
BHR,Bahrain,YHI,
BHS,"Bahamas, The",YHI,
BIH,Bosnia and Herzegovina,ECA,EUR-B
BLR,Belarus,ECA,EUR-C
BLZ,Belize,LAC,AMR-B
BMU,Bermuda,YHI,
BOL,Bolivia,LAC,AMR-D
BRA,Brazil,LAC,AMR-B
BRB,Barbados,YHI,
BRN,Brunei Darussalam,YHI,
BTN,Bhutan,SAS,
BWA,Botswana,SSA,AFR-E
CAF,Central African Republic,SSA,AFR-E
CAN,Canada,YHI,
CHE,Switzerland,YHI,
CHI,Channel Islands,YHI,
CHL,Chile,YHI,
CHN,China,EAP,WPR-B
CIV,Côte d'Ivoire,SSA,AFR-E
CMR,Cameroon,SSA,AFR-D
COG,"Congo, Rep.",SSA,AFR-E
COL,Colombia,LAC,AMR-B
COM,Comoros,SSA,AFR-D
CPV,Cape Verde,SSA,AFR-D
CRI,Costa Rica,LAC,AMR-B
CUB,Cuba,LAC,
CUW,Curaçao,YHI,
CYM,Cayman Islands,YHI,
CYP,Cyprus,YHI,
CZE,Czech Republic,YHI,
DEU,Germany,YHI,
DJI,Djibouti,MNA,EMR-D
DMA,Dominica,LAC,AMR-B
DNK,Denmark,YHI,
DOM,Dominican Republic,LAC,AMR-B
DZA,Algeria,MNA,AFR-D
ECU,Ecuador,LAC,AMR-D
EGY,"Egypt, Arab Rep.",MNA,EMR-D
ERI,Eritrea,SSA,AFR-E
ESP,Spain,YHI,
EST,Estonia,YHI,
ETH,Ethiopia,SSA,AFR-E
FIN,Finland,YHI,
FJI,Fiji,EAP,WPR-B
FRA,France,YHI,
FRO,Faeroe Islands,YHI,
FSM,"Micronesia, Fed. Sts.",EAP,WPR-B
GAB,Gabon,SSA,AFR-D
GBR,United Kingdom,YHI,
GEO,Georgia,ECA,EUR-B
GHA,Ghana,SSA,AFR-D
GIN,Guinea,SSA,AFR-D
GMB,"Gambia, The",SSA,AFR-D
GNB,Guinea-Bissau,SSA,AFR-D
GNQ,Equatorial Guinea,YHI,
GRC,Greece,YHI,
GRD,Grenada,LAC,
GRL,Greenland,YHI,
GTM,Guatemala,LAC,AMR-D
GUM,Guam,YHI,
GUY,Guyana,LAC,AMR-B
HKG,"Hong Kong SAR, China",YHI,
HND,Honduras,LAC,AMR-B
HRV,Croatia,YHI,
HTI,Haiti,LAC,AMR-D
HUN,Hungary,ECA,EUR-C
IDN,Indonesia,EAP,SEAR-B
IMY,Isle of Man,YHI,
IND,India,SAS,SEAR-D
IRL,Ireland,YHI,
IRN,"Iran, Islamic Rep.",MNA,EMR-B
IRQ,Iraq,MNA,EMR-D
ISL,Iceland,YHI,
ISR,Israel,YHI,
ITA,Italy,YHI,
JAM,Jamaica,LAC,AMR-B
JOR,Jordan,MNA,EMR-B
JPN,Japan,YHI,
KAZ,Kazakhstan,ECA,EUR-C
KEN,Kenya,SSA,AFR-E
KGZ,Kyrgyz Republic,ECA,EUR-B
KHM,Cambodia,EAP,WPR-B
