Reg,Macro,prodd,priced,pqd,min_max
EAP,SSP4,-0.007438138929111493,0.0036901046553285966,-0.003775481784872081,min
EAP,SSP5,-0.0075229336485059806,-0.0013304516094443386,-0.008843376358770083,min
ECA,SSP4,0.026632726523496686,-0.02617171204472024,-0.0002360095707624188,min
ECA,SSP5,0.11998829650469722,-0.03266254861423279,0.08340662432274093,min
LAC,SSP4,-0.002068543280358437,0.0038846624688351206,0.001808083596030352,min
LAC,SSP5,-0.0018484985414646271,-9.463840814027957e-05,-0.001942962010645477,min
MNA,SSP4,0.04251682605448526,-0.020266235760683093,0.02138893427318589,min
MNA,SSP5,0.017014743132429677,-0.014919246297307454,0.0018416496916440206,min
SAS,SSP4,-0.012308774000945322,0.03288501697256718,0.020171468729689,min
SAS,SSP5,-0.013353157784680048,0.014585868666216362,0.0010379434758098771,min
SSA,SSP4,-0.013921766806455516,0.007406515247559309,-0.006618363337021149,min
SSA,SSP5,-0.013275305027147022,0.002272057870557065,-0.011033409417861018,min
EAP,SSP4,-0.03983405022833564,0.05196715661507234,0.0100630440599081,max
EAP,SSP5,-0.04281505440411748,0.038911165174243534,-0.005569872883737004,max
ECA,SSP4,0.001238978465728513,0.012492856987295964,0.013747313833807118,max
ECA,SSP5,0.009080310032722583,0.00780264295407096,0.016953803403890966,max
LAC,SSP4,0.0069462952317187465,0.026098366644653703,0.03322594883615171,max
LAC,SSP5,0.038948011010936145,0.033184532650126775,0.07342501520411271,max
MNA,SSP4,-0.026122302566363054,0.07598257023202803,0.04787542797629407,max
MNA,SSP5,-0.014410569957504338,0.0066468933995886825,-0.007859462080250346,max
SAS,SSP4,-0.04480169521342792,0.07674302257014198,0.028503109849769448,max
SAS,SSP5,-0.01523883622569766,0.04928550514016039,0.03329561517333124,max
SSA,SSP4,-0.08745456587677092,0.12861391907864017,0.029911478743136488,max
SSA,SSP5,-0.07814812024288198,0.05330938116843176,-0.029004767004074394,max
